id,accident_id,plate_number,vin,body_number,vehicle_type_id,mark_code,model_code,driver_guilt_option_id,traffic_direction_from,traffic_direction_to,object_id,is_drunk,is_unidentified_vehicle,is_vehicle_left_accident,driver_comment,yellow_number,is_damaged,is_circumstance_inconsistency,is_traffic_direction_inconsistency,is_road_sign_inconsistency,is_collision_sequence_inconsistency,accident_number,accident_date,is_injured_person,is_property_damage,road_condition_id,weather_condition_id,illumination_condition_id,visibility_condition_id,accident_classification_id,model_img,model_scheme,other,address_id,road_surface_condition_id,id-2,is_confirmation_passed
107751,51009,94AM094,W0LVXCF25B4348944,,1,210,,3,???????????,????????????,524682,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720220150035,2022-07-22 13:50:00+04,FALSE,FALSE,,,,,2,,,,94427,,51009,FALSE
107754,51010,12EM012,XLRTE47MS0E830843,,1,53,105,3,????????,?????? ???,524497,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221140659,2022-07-22 11:40:00+04,FALSE,FALSE,1,,,5,2,,,,94429,1,51010,FALSE
107753,51010,01VN700,4JGDF7CEXDA173486,,2,190,822,3,????????,????? ?????,524496,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221140659,2022-07-22 11:40:00+04,FALSE,FALSE,1,,,5,2,,,,94429,1,51010,FALSE
107756,51011,35GV442,WAUEH24B2YN037357,,2,9,117,3,????????,???? ???,524543,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221135924,2022-07-22 23:35:00+04,FALSE,FALSE,1,,,2,2,,,,94431,1,51011,FALSE
107755,51011,34PV998,W0L0TGF4815138530,,2,210,13,3,????????,????????,524493,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221135924,2022-07-22 23:35:00+04,FALSE,FALSE,1,,,2,2,,,,94431,1,51011,FALSE
107758,51012,9491CN,,,2,,,3,???????? ???,????????,527960,FALSE,FALSE,FALSE,"5.3 1-?? ??????,2-?? ???? ??????? ? ??? ??????????????",,TRUE,,,,,AYR220720221107769,2022-07-22 23:07:00+04,FALSE,FALSE,1,,,2,2,,,,94433,1,51012,FALSE
107757,51012,81RO808,SCP100160178,,2,265,155,3,???????? ???,???????,528038,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221107769,2022-07-22 23:07:00+04,FALSE,FALSE,1,,,2,2,,,,94433,1,51012,FALSE
107760,51013,78RS078,WDB2100351A202612,,2,190,269,3,????????? 3/1,????????? ??,526943,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720221130689,2022-07-25 11:30:00+04,FALSE,FALSE,1,,,1,2,,,,94435,1,51013,FALSE
107759,51013,81UD777,WDB2020181F108644,,2,190,226,3,????????? 3/1 ?????? ??????,?????? ???????,527029,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720221130689,2022-07-25 11:30:00+04,FALSE,FALSE,1,,,1,2,,,,94435,1,51013,FALSE
107762,51014,35OZ159,WDB2020181F631695,,2,190,226,3,2?? ???????,?????,526231,FALSE,FALSE,FALSE,??????? ??? ???? ?? ?????????? ???? ????? ??,,TRUE,,,,,AAM300720220105078,2022-07-30 13:05:00+04,FALSE,FALSE,1,,,5,2,,,,94437,1,51014,FALSE
